Show,Centre,Main absorber,Index name,Line limits,Blue continuum,Red continuum,Reference
0,4228.5,Ca I,Ca4227,4222.250–4234.750,4211.000–4219.750,4241.000–4251.000,Worthey et al. (1994)
1,4298.875,CH (G band),G4300,4281.375–4316.375,4266.375–4282.625,4318.875–4335.125,Worthey et al. (1994)
0,4394.75,Fe I,Fe4383,4369.125–4420.375,4359.125–4370.375,4442.875–4455.375,Worthey et al. (1994)
0,4463.375,Ca I,Ca4455,4452.125–4474.625,4445.875–4454.625,4477.125–4492.125,Worthey et al. (1994)
0,4536.75,Fe I,Fe4531,4514.250–4559.250,4504.250–4514.250,4560.500–4579.250,Worthey et al. (1994)
0,4677.125,C2,Fe4668,4634.000–4720.250,4611.500–4630.250,4742.750–4756.500,Worthey et al. (1994)
0,5015.875,Fe I,Fe5015,4977.750–5054.000,4946.500–4977.750,5054.000–5065.250,Worthey et al. (1994)
0,5101.625,MgH,Mg1,5069.125–5134.125,4895.125–4957.625,5301.125–5366.125,Worthey et al. (1994)
0,5175.375,MgH,Mg2,5154.125–5196.625,4895.125–4957.625,5301.125–5366.125,Worthey et al. (1994)
1,5176.375,Mg b,Mgb,5160.125–5192.625,5142.625–5161.375,5191.375–5206.375,Worthey et al. (1994)
1,5265.65,Fe I,Fe5270,5245.650–5285.650,5233.150–5248.150,5285.650–5318.150,Worthey et al. (1994)
0,5332.125,Fe I,Fe5335,5312.125–5352.125,5304.625–5315.875,5353.375–5363.375,Worthey et al. (1994)
0,5401.25,Fe I,Fe5406,5387.500–5415.000,5376.250–5387.500,5415.000–5425.000,Worthey et al. (1994)
0,5708.5,Fe I,Fe5709,5696.625–5720.375,5672.875–5696.625,5722.875–5736.625,Worthey et al. (1994)
0,5786.625,Fe I,Fe5782,5776.625–5796.625,5765.375–5775.375,5797.875–5811.625,Worthey et al. (1994)
1,5893.125,Na I,NaD,5876.875–5909.375,5860.625–5875.625,5922.125–5948.125,Worthey et al. (1994)
0,5965.375,TiO,TiO1,5936.625–5994.125,5816.625–5849.125,6038.625–6103.625,Worthey et al. (1994)
0,6230.875,TiO,TiO2,6189.625–6272.125,6066.625–6141.625,6372.625–6415.125,Worthey et al. (1994)
1,8498.0,Ca II,CaT1,8476.000–8520.000,8110.000–8165.000,8786.000–8844.000,Bica \& Alloin (1987) (†)
1,8542.0,Ca II,CaT2,8520.000–8564.000,8110.000–8165.000,8786.000–8844.000,Bica \& Alloin (1987) (†)
1,8670.0,Ca II,CaT3,8640.000–8700.000,8110.000–8165.000,8786.000–8844.000,Bica \& Alloin (1987) (†)
0,9320.0,ZrO/TiO/CN,ZrO,9170.000–9470.000,8900.000–8960.000,9585.000–9615.000,Riffel et al. (2019) (α)
1,10560.0,VO,VO,10470.000–10650.000,10430.000–10465.000,10660.000–10700.000,Riffel et al. (2019) (α)
0,11000.0,CN,CN11,10910.000–11090.000,10705.000–10730.000,11310.000–11345.000,Riffel et al. (2019) (β)
0,11390.0,Na I,NaI1.14,11350.000–11430.000,11310.000–11345.000,11450.000–11515.000,Riffel et al. (2019) (β)
1,11605.0,Fe I,FeI1.16,11580.000–11630.000,11450.000–11515.000,11650.000–11690.000,Roeck (2015)
1,12430.0,Mg I,MgI1.24,12405.000–12455.000,12335.000–12365.000,12465.000–12490.000,Roeck (2015)
