wavelength_AA,formatted_ion,formatted_ion_simple,show
770.409,$\mathrm{Ne}~\textsc{viii}$,Ne VIII,0
780.324,$\mathrm{Ne}~\textsc{viii}$,Ne VIII,0
937.814,$\mathrm{Ly}~\epsilon$,Ly$\epsilon$,0
949.742,$\mathrm{Ly}~\delta$,Ly$\delta$,0
977.03,$\mathrm{C}~\textsc{iii}$,C III,0
989.79,$\mathrm{N}~\textsc{iii}$,N III,0
991.514,$\mathrm{N}~\textsc{iii}$,N III,0
991.579,$\mathrm{N}~\textsc{iii}$,N III,0
1025.722,$\mathrm{Ly}~\beta$,Ly$\beta$,0
1031.912,$\mathrm{O}~\textsc{vi}$,O VI,0
1037.613,$\mathrm{O}~\textsc{vi}$,O VI,0
1066.66,$\mathrm{Ar}~\textsc{i}$,Ar I,0
1215.67,$\mathrm{Ly}~\alpha$,Ly$\alpha$,0
1238.821,$\mathrm{N}~\textsc{v}$,N V,0
1242.804,$\mathrm{N}~\textsc{v}$,N V,0
1260.422,$\mathrm{Si}~\textsc{ii}$,Si II,0
1264.73,$\mathrm{Si}~\textsc{ii}$,Si II,0
1302.168,$\mathrm{O}~\textsc{i}$,O I,0
1334.532,$\mathrm{C}~\textsc{ii}$,C II,0
1335.708,$\mathrm{C}~\textsc{ii}$,C II,0
1393.755,$\mathrm{Si}~\textsc{iv}$,Si IV,0
1397.232,$\mathrm{O}~\textsc{iv}]$,O IV],0
1399.78,$\mathrm{O}~\textsc{iv}]$,O IV],0
1402.77,$\mathrm{Si}~\textsc{iv}$,Si IV,0
1486.496,$\mathrm{N}~\textsc{iv}]$,N IV],0
1548.187,$\mathrm{C}~\textsc{iv}$,C IV,0
1550.772,$\mathrm{C}~\textsc{iv}$,C IV,0
1640.42,$\mathrm{He}~\textsc{ii}$,He II,0
1660.809,$\mathrm{O}~\textsc{iii}]$,O III],0
1666.15,$\mathrm{O}~\textsc{iii}]$,O III],0
1746.823,$\mathrm{N}~\textsc{iii}]$,N III],0
1748.656,$\mathrm{N}~\textsc{iii}]$,N III],0
